# evalue %pos coverage querylength bitsocre alignlen %ident
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 8 7.55 2 100.00
13. 100.00 25 8 7.55 2 100.00
13. 100.00 25 8 7.55 2 100.00
13. 100.00 25 8 7.55 2 100.00
13. 100.00 25 8 7.55 2 100.00
13. 100.00 25 8 7.55 2 100.00
13. 100.00 25 8 8.09 2 100.00
13. 100.00 27 11 8.81 3 66.67
13. 100.00 27 11 8.81 3 66.67
13. 100.00 28 7 6.98 2 50.00
13. 100.00 28 7 6.98 2 50.00
13. 100.00 28 7 6.98 2 50.00
13. 100.00 36 11 8.32 4 25.00
13. 100.00 36 11 8.32 4 25.00
13. 100.00 37 8 7.01 3 33.33
13. 100.00 37 8 8.09 3 66.67
13. 100.00 50 4 6.30 2 50.00
13. 100.00 7 39 11.02 3 66.67
13. 100.00 7 39 11.04 3 100.00
13. 100.00 7 40 11.00 3 100.00
13. 100.00 7 40 11.00 3 100.00
13. 100.00 8 36 11.10 3 100.00
13. 100.00 9 31 10.37 3 100.00
13. 100.00 9 41 10.76 4 75.00
13. 37.93 80 36 10.68 29 27.59
13. 37.93 80 36 10.68 29 27.59
13. 44.44 52 17 8.96 9 33.33
13. 46.15 41 31 10.47 13 38.46
13. 48.15 67 40 11.00 27 14.81
13. 48.15 67 40 11.00 27 14.81
13. 50.00 30 33 10.70 10 40.00
13. 50.00 54 11 8.81 6 50.00
13. 50.00 59 27 10.63 16 12.50
13. 50.00 59 27 10.63 16 12.50
13. 50.00 66 9 8.53 6 33.33
13. 52.94 43 39 11.02 17 23.53
13. 53.33 40 37 10.64 15 13.33
13. 53.85 30 42 14.18 13 38.46
13. 54.55 27 40 11.07 11 18.18
13. 54.55 35 31 10.86 11 18.18
13. 54.55 37 29 10.51 11 9.09
13. 55.56 21 41 11.25 9 44.44
13. 55.56 29 31 12.82 9 11.11
13. 55.56 52 17 8.96 9 33.33
13. 57.14 16 42 11.64 7 28.57
13. 57.14 19 36 11.16 7 57.14
13. 57.14 19 36 11.16 7 57.14
13. 57.14 22 31 10.37 7 57.14
13. 58.82 41 41 11.25 17 17.65
13. 60.00 27 37 11.14 10 20.00
13. 60.00 32 31 10.37 10 40.00
13. 61.54 33 39 11.04 13 30.77
13. 61.54 41 31 10.86 13 23.08
13. 62.50 25 31 10.47 8 25.00
13. 63.64 26 42 12.66 11 18.18
13. 64.29 48 29 10.50 14 21.43
13. 66.67 15 40 11.00 6 50.00
13. 66.67 15 40 11.00 6 50.00
13. 66.67 18 33 10.70 6 50.00
13. 66.67 24 37 11.14 9 33.33
13. 66.67 27 11 8.32 3 66.67
13. 66.67 27 11 8.81 3 66.67
13. 66.67 27 11 8.81 3 66.67
13. 66.67 27 11 8.81 3 66.67
13. 66.67 27 33 12.76 9 11.11
13. 66.67 30 40 11.07 12 25.00
13. 66.67 37 8 7.01 3 66.67
13. 66.67 37 8 7.55 3 66.67
13. 66.67 37 8 7.55 3 66.67
13. 66.67 42 7 6.98 3 33.33
13. 66.67 42 7 6.98 3 66.67
13. 66.67 42 7 6.98 3 66.67
13. 69.23 41 31 10.97 13 23.08
13. 71.43 16 42 11.14 7 42.86
13. 75.00 10 39 10.57 4 75.00
13. 75.00 11 36 10.62 4 75.00
13. 75.00 12 33 9.67 4 75.00
13. 75.00 19 41 11.25 8 37.50
13. 75.00 36 11 8.81 4 50.00
13. 75.00 36 11 8.81 4 50.00
13. 75.00 57 7 6.98 4 50.00
13. 75.00 9 41 11.73 4 50.00
13. 80.00 11 42 11.14 5 40.00
13. 80.00 15 33 10.70 5 40.00
13. 80.00 15 33 10.70 5 60.00
13. 80.00 17 28 10.27 5 40.00
13. 80.00 17 28 10.27 5 60.00
13. 80.00 17 29 10.51 5 60.00
13. 80.00 18 27 10.12 5 40.00
13. 80.00 18 27 10.12 5 40.00
13. 80.00 37 27 10.63 10 20.00
13. 80.00 37 27 10.63 10 20.00
13. 80.00 62 8 8.09 5 20.00
13. 83.33 18 33 10.70 6 50.00
13. 83.33 21 28 10.09 6 50.00
14. 100.00 10 28 9.23 3 66.67
14. 100.00 10 28 9.23 3 66.67
14. 100.00 10 29 10.00 3 33.33
14. 100.00 10 29 10.00 3 66.67
14. 100.00 10 29 10.00 3 66.67
14. 100.00 10 29 9.52 3 33.33
14. 100.00 11 17 8.46 2 100.00
14. 100.00 11 17 8.46 2 100.00
14. 100.00 11 17 8.46 2 100.00
14. 100.00 11 17 8.46 2 100.00
14. 100.00 11 17 8.46 2 100.00
14. 100.00 11 27 9.61 3 66.67
14. 100.00 11 27 9.61 3 66.67
14. 100.00 12 40 10.59 5 40.00
14. 100.00 13 29 10.02 4 25.00
14. 100.00 13 29 10.64 4 50.00
14. 100.00 15 39 10.57 6 16.67
14. 100.00 16 31 11.47 5 20.00
14. 100.00 16 31 11.47 5 20.00
14. 100.00 16 6 8.15 1 100.00
14. 100.00 17 17 8.46 3 66.67
14. 100.00 17 17 8.46 3 66.67
14. 100.00 17 17 8.96 3 66.67
14. 100.00 18 11 8.32 2 100.00
14. 100.00 18 11 8.32 2 100.00
14. 100.00 22 9 7.49 2 100.00
14. 100.00 22 9 7.49 2 50.00
14. 100.00 22 9 7.49 2 50.00
14. 100.00 22 9 7.49 2 50.00
14. 100.00 22 9 7.49 2 50.00
14. 100.00 22 9 8.01 2 100.00
14. 100.00 23 17 8.46 4 50.00
14. 100.00 25 8 7.55 2 100.00
14. 100.00 25 8 7.55 2 100.00
14. 100.00 27 11 7.83 3 33.33
14. 100.00 27 11 7.83 3 33.33
14. 100.00 27 11 7.83 3 33.33
14. 100.00 28 7 6.46 2 100.00
14. 100.00 28 7 6.46 2 100.00
14. 100.00 28 7 6.46 2 50.00
14. 100.00 28 7 6.46 2 50.00
14. 100.00 28 7 6.46 2 50.00
14. 100.00 33 6 6.71 2 50.00
14. 100.00 33 6 6.71 2 50.00
14. 100.00 33 9 7.49 3 33.33
14. 100.00 33 9 7.49 3 33.33
14. 100.00 33 9 8.01 3 33.33
14. 100.00 33 9 8.01 3 33.33
14. 100.00 37 8 7.01 3 33.33
14. 100.00 37 8 7.55 3 33.33
14. 100.00 42 7 6.46 3 33.33
14. 100.00 42 7 6.46 3 33.33
14. 100.00 42 7 6.98 3 33.33
14. 100.00 4 41 10.28 2 100.00
14. 100.00 4 41 10.28 2 100.00
14. 100.00 4 41 10.28 2 100.00
14. 100.00 4 41 10.28 2 100.00
14. 100.00 4 65 11.58 3 100.00
14. 100.00 50 6 7.13 3 33.33
14. 100.00 50 6 7.13 3 33.33
14. 100.00 5 36 9.67 2 100.00
14. 100.00 5 36 9.67 2 100.00
14. 100.00 5 36 9.72 2 100.00
14. 100.00 5 36 9.72 2 100.00
14. 100.00 5 36 9.72 2 100.00
14. 100.00 5 36 9.72 2 100.00
14. 100.00 5 39 10.10 2 100.00
14. 100.00 7 39 10.57 3 66.67
14. 100.00 7 41 10.28 3 66.67
14. 100.00 7 41 10.76 3 33.33
14. 100.00 7 42 10.63 3 100.00
14. 100.00 8 36 10.15 3 66.67
14. 100.00 8 37 10.13 3 66.67
14. 100.00 9 31 9.39 3 66.67
14. 100.00 9 33 9.67 3 100.00
14. 100.00 9 33 9.67 3 66.67
14. 35.29 54 31 9.97 17 29.41
14. 35.71 38 36 10.20 14 28.57
14. 35.71 38 36 10.20 14 28.57
14. 36.36 61 36 10.20 22 18.18
14. 36.36 61 36 10.20 22 18.18
14. 40.00 55 9 8.01 5 40.00
14. 40.00 55 9 8.01 5 40.00
14. 40.00 58 17 8.46 10 30.00
14. 40.00 83 6 6.71 5 40.00
14. 41.18 58 29 9.63 17 11.76
14. 42.86 16 42 10.12 7 14.29
14. 43.75 43 37 13.67 16 31.25
14. 43.75 44 36 13.00 16 37.50
14. 44.44 25 36 10.15 9 44.44
14. 44.44 31 29 10.00 9 11.11
14. 44.44 31 29 9.51 9 44.44
14. 45.00 68 29 10.02 20 20.00
14. 45.45 30 36 9.72 11 27.27
14. 45.45 30 36 9.72 11 27.27
14. 45.45 37 29 10.02 11 36.36
14. 46.15 33 39 10.08 13 15.38
14. 47.37 29 65 11.08 19 21.05
14. 50.00 15 39 10.57 6 50.00
14. 50.00 16 36 10.15 6 50.00
14. 50.00 21 28 9.58 6 33.33
14. 50.00 35 17 8.46 6 33.33
14. 50.00 38 31 9.47 12 25.00
14. 50.00 38 36 9.67 14 28.57
14. 50.00 44 9 7.49 4 25.00
14. 50.00 44 9 7.49 4 50.00
14. 50.00 44 9 7.49 4 50.00
14. 50.00 44 9 8.01 4 50.00
14. 50.00 44 9 8.01 4 50.00
14. 50.00 44 9 8.01 4 50.00
14. 50.00 50 8 7.01 4 50.00
14. 50.00 50 8 7.01 4 50.00
14. 50.00 58 17 8.46 10 40.00
14. 54.55 29 37 10.64 11 18.18
14. 55.56 21 41 10.28 9 44.44
14. 55.56 31 29 10.02 9 44.44
14. 55.56 52 17 8.46 9 33.33
14. 57.14 22 31 9.39 7 42.86
14. 57.14 22 31 9.47 7 42.86
14. 57.14 24 29 10.00 7 14.29
14. 57.14 24 29 9.52 7 42.86
14. 57.14 34 41 10.76 14 28.57
14. 57.14 41 17 8.96 7 28.57
14. 57.14 77 9 8.01 7 28.57
14. 58.33 38 31 10.37 12 25.00
14. 60.00 12 40 10.00 5 40.00
14. 60.00 12 40 10.00 5 40.00
14. 60.00 12 40 10.00 5 60.00
14. 60.00 12 40 10.00 5 60.00
14. 60.00 18 27 9.61 5 60.00
14. 60.00 18 27 9.61 5 60.00
14. 60.00 25 39 10.10 10 20.00
14. 60.00 45 11 7.83 5 40.00
14. 60.00 55 9 7.49 5 40.00
14. 60.00 55 9 8.01 5 40.00
14. 60.00 55 9 8.01 5 40.00
14. 60.00 55 9 8.01 5 40.00
14. 60.00 62 8 7.01 5 40.00
14. 60.00 62 8 7.01 5 40.00
14. 60.00 71 7 6.46 5 20.00
14. 60.00 7 65 11.08 5 40.00
14. 60.00 7 65 11.08 5 60.00
14. 60.00 83 6 6.71 5 20.00
14. 61.54 32 40 10.00 13 23.08
14. 61.54 32 40 10.00 13 23.08
14. 62.50 19 42 10.12 8 25.00
14. 62.50 20 40 10.00 8 37.50
14. 62.50 20 40 10.00 8 37.50
14. 62.50 25 31 9.47 8 12.50
14. 62.50 29 27 9.61 8 37.50
14. 62.50 29 27 9.61 8 37.50
14. 63.64 35 31 11.47 11 27.27
14. 66.67 14 42 10.12 6 33.33
14. 66.67 14 42 10.12 6 50.00
14. 66.67 18 33 10.19 6 33.33
14. 66.67 20 29 9.51 6 50.00
14. 66.67 21 28 9.58 6 50.00
14. 66.67 21 42 10.63 9 22.22
14. 66.67 22 27 9.61 6 50.00
14. 66.67 22 27 9.61 6 50.00
14. 66.67 27 11 8.32 3 66.67
14. 66.67 27 11 8.32 3 66.67
14. 66.67 27 11 8.32 3 66.67
14. 66.67 27 11 8.32 3 66.67
14. 66.67 29 41 10.28 12 25.00
14. 66.67 31 29 9.52 9 22.22
14. 66.67 33 9 7.49 3 33.33
14. 66.67 33 9 7.49 3 33.33
14. 66.67 33 9 7.49 3 66.67
14. 66.67 33 9 7.49 3 66.67
14. 66.67 33 9 8.01 3 66.67
14. 66.67 33 9 8.01 3 66.67
14. 66.67 33 9 8.01 3 66.67
14. 66.67 37 8 7.01 3 66.67
14. 66.67 37 8 7.01 3 66.67
14. 66.67 38 31 9.97 12 33.33
14. 66.67 50 6 6.71 3 33.33
14. 66.67 50 6 6.71 3 33.33
14. 66.67 50 6 6.71 3 66.67
14. 66.67 54 11 7.83 6 33.33
14. 66.67 9 31 9.47 3 66.67
14. 66.67 9 65 11.58 6 50.00
14. 68.75 44 36 13.48 16 18.75
14. 70.00 25 40 12.00 10 30.00
14. 70.00 25 40 12.00 10 30.00
14. 70.00 34 29 9.63 10 20.00
14. 71.43 22 31 9.97 7 14.29
14. 71.43 24 29 10.00 7 28.57
14. 72.73 28 39 10.10 11 9.09
14. 72.73 28 39 10.57 11 9.09
14. 72.73 37 29 10.00 11 27.27
14. 72.73 37 29 9.51 11 18.18
14. 75.00 10 37 10.64 4 75.00
14. 75.00 11 36 10.68 4 50.00
14. 75.00 11 36 10.68 4 50.00
14. 75.00 11 36 11.58 4 75.00
14. 75.00 12 31 9.88 4 75.00
14. 75.00 12 33 10.19 4 75.00
14. 75.00 13 29 9.51 4 50.00
14. 75.00 14 28 9.23 4 75.00
14. 75.00 24 33 10.19 8 37.50
14. 75.00 44 9 7.49 4 25.00
14. 75.00 44 9 7.49 4 50.00
14. 75.00 50 8 7.01 4 50.00
14. 75.00 57 7 6.46 4 50.00
14. 75.00 9 42 10.12 4 75.00
14. 75.00 9 42 10.63 4 50.00
14. 77.78 21 42 10.63 9 22.22
14. 80.00 11 42 10.12 5 20.00
14. 80.00 11 42 10.12 5 60.00
14. 80.00 12 40 10.59 5 60.00
14. 80.00 13 36 10.62 5 40.00
14. 80.00 13 37 10.64 5 60.00
14. 80.00 15 33 9.67 5 60.00
14. 80.00 16 31 10.37 5 60.00
14. 80.00 16 31 9.97 5 40.00
14. 80.00 16 31 9.97 5 60.00
14. 80.00 16 31 9.97 5 60.00
14. 80.00 17 28 9.58 5 40.00
14. 80.00 17 28 9.58 5 60.00
14. 80.00 18 27 10.12 5 40.00
14. 80.00 18 27 10.12 5 40.00
14. 80.00 18 27 9.61 5 60.00
14. 80.00 18 27 9.61 5 60.00
14. 80.00 55 9 7.49 5 20.00
14. 80.00 71 7 6.46 5 40.00
14. 80.00 71 7 6.46 5 40.00
14. 83.33 14 41 10.28 6 50.00
14. 83.33 14 42 10.63 6 16.67
14. 83.33 18 33 11.73 6 33.33
14. 83.33 19 31 9.88 6 33.33
14. 83.33 21 28 9.58 6 33.33
14. 83.33 35 17 10.94 6 50.00
14. 87.50 22 36 10.68 8 25.00
14. 87.50 22 36 10.68 8 25.00
15. 100.00 10 40 10.50 4 50.00
15. 100.00 10 40 10.50 4 50.00
15. 100.00 16 6 8.15 1 100.00
15. 100.00 22 9 8.53 2 100.00
15. 100.00 25 8 9.16 2 100.00
15. 100.00 27 11 9.79 3 66.67
15. 100.00 33 9 9.05 3 66.67
15. 100.00 5 36 9.72 2 100.00
15. 100.00 5 36 9.72 2 100.00
15. 100.00 8 37 10.13 3 66.67
15. 40.00 34 29 10.02 10 30.00
15. 45.00 54 37 10.13 20 10.00
15. 50.00 16 36 9.72 6 33.33
15. 50.00 16 36 9.72 6 33.33
15. 57.14 19 36 9.72 7 28.57
15. 57.14 19 36 9.72 7 28.57
15. 62.50 28 28 12.11 8 37.50
15. 66.67 10 28 9.23 3 66.67
15. 71.43 24 29 12.00 7 28.57
15. 71.43 24 29 13.00 7 57.14
15. 71.43 25 28 12.35 7 57.14
15. 83.33 15 39 10.08 6 50.00
15. 83.33 15 40 10.12 6 66.67
16. 100.00 10 28 9.58 3 100.00
16. 100.00 10 28 9.58 3 100.00
16. 100.00 11 36 13.48 4 75.00
16. 100.00 13 29 11.00 4 75.00
16. 100.00 28 7 6.46 2 50.00
16. 100.00 28 7 7.49 2 100.00
16. 100.00 28 7 7.49 2 100.00
16. 100.00 28 7 7.49 2 100.00
16. 100.00 28 7 7.49 2 50.00
16. 100.00 5 36 9.67 2 100.00
16. 100.00 8 37 11.65 3 66.67
16. 100.00 9 33 11.22 3 33.33
16. 47.06 47 36 12.05 17 29.41
16. 47.62 51 41 12.70 21 23.81
16. 50.00 33 42 11.14 14 14.29
16. 50.00 35 40 10.50 14 28.57
16. 50.00 35 40 10.50 14 28.57
16. 50.00 45 31 11.47 14 35.71
16. 54.55 30 36 11.58 11 36.36
16. 57.14 19 36 9.67 7 28.57
16. 61.54 46 28 12.61 13 30.77
16. 62.50 20 40 11.54 8 25.00
16. 62.50 20 40 12.49 8 25.00
16. 63.64 27 40 10.50 11 27.27
16. 63.64 27 40 10.50 11 27.27
16. 63.64 40 27 10.12 11 27.27
16. 63.64 40 27 10.12 11 27.27
16. 66.67 27 33 12.76 9 11.11
16. 66.67 29 31 11.47 9 44.44
16. 66.67 31 29 11.00 9 33.33
16. 75.00 12 33 10.19 4 75.00
16. 75.00 9 41 10.28 4 50.00
16. 80.00 13 36 11.58 5 60.00
16. 80.00 16 31 10.97 5 20.00
16. 80.00 17 28 9.58 5 40.00
16. 83.33 15 40 11.54 6 50.00
17. 100.00 12 31 11.84 4 75.00
17. 100.00 13 37 10.13 5 40.00
17. 100.00 22 9 8.53 2 100.00
17. 100.00 33 6 7.64 2 50.00
17. 45.45 16 65 12.09 11 45.45
17. 50.00 28 28 9.23 8 37.50
17. 50.00 36 11 7.83 4 25.00
17. 54.55 26 41 11.25 11 45.45
17. 60.00 17 28 9.23 5 60.00
17. 66.67 20 29 10.13 6 50.00
17. 66.67 20 29 10.64 6 66.67
17. 66.67 21 41 12.21 9 33.33
17. 70.00 35 28 12.35 10 40.00
17. 71.43 17 41 11.73 7 42.86
17. 75.00 6 65 12.59 4 75.00
17. 80.00 16 31 9.39 5 60.00
18. 100.00 12 31 9.47 4 50.00
18. 100.00 18 11 9.30 2 100.00
18. 100.00 7 40 10.00 3 66.67
18. 100.00 7 40 10.00 3 66.67
18. 42.86 35 40 10.00 14 28.57
18. 42.86 35 40 10.00 14 28.57
18. 45.45 33 33 10.70 11 27.27
18. 50.00 25 31 10.86 8 25.00
18. 50.00 27 29 10.50 8 12.50
18. 60.00 15 33 9.67 5 60.00
18. 62.50 27 29 9.63 8 37.50
18. 66.67 22 40 10.00 9 22.22
18. 66.67 22 40 10.00 9 22.22
18. 71.43 17 40 10.00 7 42.86
18. 71.43 17 40 10.00 7 42.86
18. 71.43 17 40 11.07 7 42.86
18. 71.43 24 29 9.63 7 14.29
18. 75.00 12 33 11.73 4 50.00
18. 75.00 22 36 12.53 8 37.50
18. 75.00 9 42 11.64 4 75.00
18. 77.78 31 29 12.50 9 22.22
18. 80.00 12 40 11.07 5 60.00
18. 80.00 15 33 10.19 5 60.00
18. 83.33 18 33 12.25 6 33.33
18. 85.71 17 40 10.00 7 28.57
18. 85.71 17 40 10.00 7 28.57
19. 100.00 11 36 10.20 4 50.00
19. 100.00 11 36 10.20 4 50.00
19. 100.00 11 36 11.64 4 75.00
19. 100.00 11 36 11.64 4 75.00
19. 100.00 12 31 10.47 4 50.00
19. 100.00 7 39 10.57 3 66.67
19. 100.00 7 40 11.00 3 100.00
19. 100.00 7 40 11.00 3 100.00
19. 100.00 7 41 10.76 3 100.00
19. 100.00 9 41 10.76 4 75.00
19. 50.00 21 28 10.27 6 33.33
19. 60.00 25 40 11.00 10 20.00
19. 60.00 25 40 11.00 10 20.00
19. 60.00 32 31 11.84 10 40.00
19. 62.50 12 65 11.58 8 37.50
19. 62.50 20 40 11.50 8 25.00
19. 62.50 20 40 11.50 8 25.00
19. 62.50 28 28 10.59 8 25.00
19. 66.67 21 28 11.10 6 33.33
19. 66.67 22 40 11.00 9 33.33
19. 66.67 22 40 11.00 9 33.33
19. 66.67 33 9 8.01 3 66.67
19. 71.43 18 37 13.17 7 57.14
19. 75.00 11 36 10.62 4 50.00
19. 75.00 14 28 10.59 4 50.00
19. 80.00 12 39 10.57 5 60.00
19. 80.00 13 37 10.64 5 40.00
19. 80.00 13 37 10.64 5 60.00
20. 100.00 10 29 10.50 3 66.67
20. 100.00 11 17 8.46 2 100.00
20. 100.00 12 40 10.59 5 40.00
20. 100.00 18 11 8.81 2 100.00
20. 100.00 18 27 10.63 5 40.00
20. 100.00 18 27 10.63 5 40.00
20. 100.00 22 9 8.53 2 100.00
20. 100.00 22 9 8.53 2 100.00
20. 100.00 22 9 8.53 2 100.00
20. 100.00 22 9 8.53 2 100.00
20. 100.00 22 9 8.53 2 100.00
20. 100.00 22 9 8.53 2 100.00
20. 100.00 22 9 8.53 2 100.00
20. 100.00 6 31 10.37 2 100.00
20. 100.00 7 40 10.00 3 100.00
20. 100.00 7 40 10.00 3 100.00
20. 100.00 7 40 10.00 3 100.00
20. 100.00 7 40 10.00 3 100.00
20. 100.00 7 40 10.00 3 66.67
20. 100.00 7 40 10.00 3 66.67
20. 100.00 7 41 10.76 3 33.33
20. 100.00 7 41 10.76 3 66.67
20. 100.00 8 36 11.16 3 66.67
20. 100.00 8 36 11.16 3 66.67
20. 100.00 8 36 9.72 3 66.67
20. 100.00 8 36 9.72 3 66.67
20. 100.00 9 31 10.86 3 100.00
20. 45.45 35 31 11.35 11 45.45
20. 46.67 48 31 11.35 15 26.67
20. 47.62 51 41 11.73 21 19.05
20. 50.00 20 29 10.00 6 50.00
20. 53.85 44 29 11.01 13 23.08
20. 54.55 33 33 10.19 11 9.09
20. 54.55 37 29 11.01 11 36.36
20. 57.14 19 36 11.10 7 28.57
20. 57.14 19 36 11.10 7 42.86
20. 57.14 19 36 9.72 7 42.86
20. 57.14 19 36 9.72 7 42.86
20. 57.14 35 40 12.49 14 21.43
20. 60.00 12 40 11.00 5 60.00
20. 60.00 12 40 11.00 5 60.00
20. 60.00 25 40 12.02 10 30.00
20. 61.54 44 29 11.01 13 23.08
20. 69.23 36 36 11.16 13 23.08
20. 69.23 36 36 11.16 13 23.08
20. 70.00 30 33 10.19 10 20.00
20. 71.43 17 40 11.50 7 42.86
20. 71.43 17 40 11.50 7 42.86
20. 71.43 19 36 12.12 7 28.57
20. 71.43 19 36 12.12 7 28.57
20. 75.00 10 40 10.59 4 75.00
20. 75.00 14 28 9.23 4 75.00
20. 75.00 47 17 9.95 8 25.00
20. 80.00 13 36 9.72 5 40.00
20. 80.00 13 36 9.72 5 40.00
20. 80.00 15 33 10.19 5 20.00
20. 80.00 17 28 10.79 5 60.00
20. 87.50 22 36 10.62 8 25.00
21. 100.00 10 40 11.50 4 75.00
21. 100.00 10 40 11.50 4 75.00
21. 100.00 12 33 11.22 4 75.00
21. 100.00 12 41 10.76 5 40.00
21. 100.00 14 27 9.61 4 50.00
21. 100.00 14 27 9.61 4 50.00
21. 100.00 17 29 9.63 5 20.00
21. 100.00 6 65 12.09 4 75.00
21. 100.00 8 36 10.68 3 66.67
21. 100.00 8 36 10.68 3 66.67
21. 100.00 8 36 11.64 3 100.00
21. 100.00 8 36 11.64 3 100.00
21. 100.00 8 36 9.72 3 66.67
21. 100.00 8 36 9.72 3 66.67
21. 100.00 8 37 11.14 3 100.00
21. 100.00 9 33 11.22 3 33.33
21. 100.00 9 33 11.22 3 33.33
21. 100.00 9 41 11.73 4 75.00
21. 45.45 29 37 10.13 11 36.36
21. 50.00 15 65 11.58 10 50.00
21. 50.00 22 36 11.16 8 37.50
21. 50.00 22 36 11.16 8 37.50
21. 50.00 22 36 12.60 8 37.50
21. 50.00 22 36 12.60 8 37.50
21. 50.00 27 37 11.14 10 40.00
21. 50.00 38 31 11.47 12 16.67
21. 55.56 24 37 11.14 9 33.33
21. 57.14 17 40 11.00 7 42.86
21. 57.14 17 40 11.00 7 42.86
21. 57.14 22 31 9.97 7 42.86
21. 57.14 22 31 9.97 7 42.86
21. 60.00 27 36 10.68 10 20.00
21. 60.00 27 36 10.68 10 20.00
21. 62.50 12 65 12.09 8 37.50
21. 62.50 25 31 9.97 8 37.50
21. 66.67 19 31 10.47 6 50.00
21. 66.67 22 27 9.61 6 50.00
21. 66.67 22 27 9.61 6 50.00
21. 66.67 32 28 10.59 9 33.33
21. 71.43 17 40 10.50 7 14.29
21. 71.43 17 40 10.50 7 14.29
21. 71.43 17 41 12.70 7 57.14
21. 71.43 24 29 11.51 7 42.86
21. 77.78 25 36 13.08 9 33.33
21. 77.78 25 36 13.08 9 33.33
21. 80.00 12 39 10.10 5 40.00
21. 80.00 12 41 11.25 5 80.00
21. 80.00 13 37 11.65 5 60.00
21. 80.00 15 33 9.67 5 40.00
21. 80.00 16 31 10.97 5 60.00
21. 80.00 17 28 10.09 5 40.00
21. 83.33 18 33 10.70 6 66.67
21. 83.33 20 29 10.64 6 50.00
21. 85.71 17 39 12.93 7 14.29
22. 100.00 10 29 10.51 3 100.00
22. 100.00 11 36 9.67 4 50.00
22. 100.00 12 33 9.67 4 50.00
22. 100.00 18 11 8.81 2 100.00
22. 100.00 22 9 7.49 2 100.00
22. 100.00 22 9 8.53 2 100.00
22. 100.00 22 9 8.53 2 100.00
22. 100.00 22 9 8.53 2 100.00
